id  arrivalTime  arrivalFlightName  arrivalType  planeType  leftTime  leftFlightName  leftType
289  29360  GN0369  D  N  29435  GN0202  D  
291  29365  NV6773  D  N  29440  NV6773  D  
292  29370  GN0439  D  N  29460  GN0284  D  
293  29375  NV3513  D  N  29445  NV3512  D  
294  29375  NV6655  D  N  29475  NV6622  D  
296  29380  NV6533  D  N  29465  NV6536  D  
297  29385  GN0493  D  N  29450  GN0493  D  
299  29390  GN0181  D  N  29465  GN0298  D  
301  29390  NV6479  D  N  29465  NV6752  D  
300  29390  GN0413  D  N  29470  GN0530  D  
304  29395  NV6313  D  N  29460  NV6518  D  
303  29395  GN0471  D  N  29490  GN0208  D  
57  29405  NV6513  D  N  29550  NV305  D  
59  29410  NV6443  D  N  29585  NV6488  D  
62  29420  GN0495  D  N  29480  GN0460  D  
67  29430  GN0457  D  N  29585  GN0446  D  
69  29435  NV6713  D  N  29545  NV6713  D  
70  29440  GN0271  D  N  29520  GN0236  D  
75  29465  NV6307  D  N  29885  NV6308  D  
76  29480  NV6535  D  N  29530  *****  D  
79  29540  NV6749  D  N  29605  NV6510  D  
80  29545  GN0253  D  N  29615  GN0204  D  
82  29560  GN0491  D  N  29750  GN0326  D  
85  29585  NV3287  D  N  29790  NV6556  D  
86  29590  GN0235  D  N  29660  GN0250  D  
87  29595  NV3266  D  N  29655  NV3269  D  
91  29620  NV6719  D  N  29690  NV6718  D  
94  29635  NV6727  D  N  29845  NV6768  D  
96  29650  NV6575  D  N  29720  NV6574  D  
97  29660  NV3654  D  N  29725  NV6318  D  
100  29670  NV6709  D  N  29840  NV3273  D  
101  29675  NV6359  D  N  29790  NV6614  D  
102  29680  GN0477  D  N  29770  GN0638  D  
103  29685  NV6685  D  N  29755  NV6685  D  
108  29695  GN0283  D  N  29755  GN0362  D  
109  29695  GN0479  D  N  29765  GN0280  D  
110  29695  GN0523  D  N  29795  GN0348  D  
112  29700  *****  D  N  29750  NV3465  D  
113  29710  GN0423  D  N  29780  GN0642  D  
115  29720  GN0203  D  N  29770  *****  D  
118  29725  NV6453  D  N  29805  NV0746  D  
126  29755  NV6657  D  N  29825  NV6462  D  
123  29755  GN0549  D  N  29850  GN0404  D  
128  29765  NV6715  D  N  29860  NV6710  D  
129  29775  NV3260  D  N  29885  NV3277  D  
138  29810  GN0637  D  N  29875  GN0636  D  
142  29820  *****  D  N  29870  GN0332  D  
145  29840  GN0333  D  N  31190  GN0326  D  
148  29855  GN0209  D  N  30060  GN0494  D  
149  29860  NV6301  D  N  30055  NV6720  D  
151  29880  NV3786  D  N  29970  NV3631  D  
158  29910  NV3421  D  N  29975  NV3410  D  
159  29910  NV6525  D  N  30085  NV6472  D  
160  29915  NV6739  D  N  30705  NV6738  D  
165  29930  NV3622  D  N  30000  NV6486  D  
163  29930  GN0465  D  N  30005  GN0452  D  
167  29935  GN0287  D  N  30070  GN0287  D  
170  29950  GN0641  D  N  30080  GN0428  D  
172  29955  NV6714  D  N  30085  NV6714  D  
179  29980  NV6763  D  N  30065  NV6544  D  
183  30000  NV6324  D  N  30060  NV6325  D  
184  30000  NV6527  D  N  30090  NV6528  D  
186  30005  GN0205  D  N  30095  GN0560  D  
188  30010  GN0261  D  N  30065  GN0260  D  
190  30010  NV6317  D  N  30735  NV6358  D  
191  30015  NV6551  D  N  30065  *****  D  
192  30015  NV6725  D  N  30740  NV6724  D  
193  30020  NV6549  D  N  30745  NV6548  D  
195  30025  NV3278  D  N  30640  NV3446  D  
198  30030  NV6772  D  N  30125  NV6772  D  
197  30030  NV6578  D  N  30780  NV6532  D  
199  30040  *****  D  N  30090  NV6478  D  
201  30060  NV6633  D  N  30130  NV6632  D  
202  30060  NV6811  D  N  30140  NV6811  D  
204  30065  NV6642  D  N  30140  NV6642  D  
206  30075  GN0409  D  N  30160  GN0368  D  
209  30080  GN0629  D  N  30140  GN0620  D  
210  30080  NV6653  D  N  30150  NV6652  D  
211  30080  NV6699  D  N  30775  NV6616  D  
213  30090  NV6733  D  N  30640  NV6748  D  
215  30100  NV6241  D  N  30785  NV6446  D  
216  30105  GN0455  D  N  30165  GN933  D  
217  30105  NV6737  D  N  30170  NV3993  D  
218  30110  NV6319  D  N  30170  NV3652  D  
219  30120  GN0257  D  N  30720  GN0522  D  
220  30120  GN0541  D  N  30750  GN0678  D  
221  30120  NV6405  D  N  30750  NV6636  D  
222  30125  GN0489  D  N  30690  GN0282  D  
225  30145  GN0645  D  N  30195  *****  D  
228  30150  NV6769  D  N  30655  NV6252  D  
227  30150  GN0639  D  N  30695  GN0234  D  
226  30150  GN0291  D  N  30765  GN0496  D  
231  30170  NV6379  D  N  30835  NV6202  D  
232  30175  NV6615  D  N  30705  NV3615  D  
233  30180  NV6557  D  N  30655  NV3286  D  
234  30190  GN0285  D  N  30865  GN0628  D  
236  30195  GN0363  D  N  30780  GN0414  D  
238  30205  GN0447  D  N  30770  GN0456  D  
240  30210  NV3195  D  N  30785  NV6514  D  
241  30220  GN0643  D  N  30780  GN0478  D  
242  30230  GN0247  D  N  30785  GN0572  D  
243  30235  GN0405  D  N  30805  GN0548  D  
